"id","coordinates_wkt","name"
482,"POINT (-72.25600707 21.76277778)","Providenciales"
483,"POINT (100.5696702 7.228611111)","Songkhla"
484,"POINT (27.95724382 40.35416667)","Bandirma"
485,"POINT (36.34040047 41.29972222)","Samsun"
486,"POINT (35.14287397 42.02333333)","Sinop"
487,"POINT (39.73651355 41.00555556)","Trabzon"
488,"POINT (33.54146054 44.61888889)","Sevastopol"
489,"POINT (-135.3223204 59.45083333)","Skagway"
490,"POINT (-146.3570671 61.10361111)","Valdez"
491,"POINT (-84.98669022 29.7275)","Apalachicola"
492,"POINT (-76.47426384 38.965)","Annapolis"
493,"POINT (-76.07108363 38.57416667)","Cambridge"
494,"POINT (-122.7836867 45.60583333)","Portland"
495,"POINT (-122.6377503 47.5625)","Bremerton"
496,"POINT (-69.10212014 44.10305556)","Rockland"
497,"POINT (-122.0014134 36.96638889)","Santa Cruz"
498,"POINT (-76.23951708 36.7225)","Chesapeake"
499,"POINT (-64.18775029 10.47416667)","Cumana"
500,"POINT (106.6751472 20.86722222)","Hai Phong"
501,"POINT (19.910572060487087 39.621950140387334)","Corfu"
502,"POINT (30.16765718634613 31.334923292880035)","Alexandria"
503,"POINT (-5.824954241841614 35.79611353569427)","Tangier"
504,"POINT (-79.85 43.25)","Hamilton"
505,"POINT (-83.03 42.31)","Windsor"
506,"POINT (-83.11 42.28)","Rouge River"
507,"POINT (-80.93 44.58)","Owen Sound"
